Real time,Pulses,Count rate,Duration of d.a.,Duration of meas.
2024.02.28  16.13.11,3760,78.3,,0:00:48
2024.02.28  16.13.19,3490,72.7,,0:00:48
2024.02.28  16.13.59,3065,63.9,,0:00:48
2024.02.28  16.14.07,1792,56,,0:00:32
2024.02.28  16.14.19,1797,56.2,,0:00:32
2024.02.28  16.15.23,4448,46.3,,0:01:36
2024.02.28  16.16.59,3211,33.4,,0:01:36
2024.02.28  16.18.35,2556,26.6,,0:01:36
2024.02.28  16.20.11,2092,21.8,,0:01:36
2024.02.28  16.21.47,1767,18.4,,0:01:36
2024.02.28  16.22.59,3218,16.8,,0:03:12
2024.02.28  16.24.11,3123,16.3,,0:03:12
2024.02.28  16.26.35,1386,14.4,,0:01:36
2024.02.28  16.28.11,1286,13.4,,0:01:36
2024.02.28  16.29.47,1291,13.4,,0:01:36
2024.02.28  16.31.23,1255,13.1,,0:01:36
2024.02.28  16.32.59,1263,13.2,,0:01:36
2024.02.28  16.34.35,1207,12.6,,0:01:36
2024.02.28  16.36.11,1211,12.6,,0:01:36
2024.02.28  16.37.47,1211,12.6,,0:01:36
2024.02.28  16.39.23,1206,12.6,,0:01:36
2024.02.28  16.40.59,1211,12.6,,0:01:36
2024.02.28  16.42.35,1210,12.6,,0:01:36
2024.02.28  16.44.11,1221,12.7,,0:01:36
2024.02.28  16.45.47,1207,12.6,,0:01:36
2024.02.28  16.47.23,1267,13.2,,0:01:36
2024.02.28  16.49.00,1131,11.8,,0:01:36
